repo_code	file_id	object_id	file_format	file_name	file_size	md5_sum	index_object_id	donor_id/donor_count	project_id/project_count	study
collaboratory	FI252829	138825bb-2be2-5343-b103-cd0d550a7a28	VCF	7b296706-b535-45a0-9a8e-4a34a8c33bb5.dkfz-indelCalling_1-0-132-1.20150602.somatic.indel.vcf.gz	1927212	0254711c93e27c12c3b7fef925f85fc0	4198eab8-e889-5d34-a3e8-11d9181e0703	DO6368	CLLE-ES	PCAWG
collaboratory	FI252835	7214f3cd-eb8f-583d-a0ca-c3712656529a	VCF	7b296706-b535-45a0-9a8e-4a34a8c33bb5.dkfz-snvCalling_1-0-132-1.20150602.somatic.snv_mnv.vcf.gz	219376	d03c49a2252a6d6db3f52c2a41e3ae6a	ce6ac570-3efd-53da-ace4-8aedae0dcb80	DO6368	CLLE-ES	PCAWG
collaboratory	FI252845	3948d405-2f8b-5f0c-9af1-0ed09356a255	VCF	ffa976f0-aa60-4867-842e-361afa7d68ac.dkfz-indelCalling_1-0-132-1.20150602.somatic.indel.vcf.gz	1255614	d0f25d56a3bdeb0857b1f9a046d806c7	3a5843b9-28cc-58d3-a81e-bfc508b1c860	DO52704	CLLE-ES	PCAWG
collaboratory	FI252851	c37e2643-cf11-5f62-8ca6-5e0dc39d8d08	VCF	ffa976f0-aa60-4867-842e-361afa7d68ac.dkfz-snvCalling_1-0-132-1.20150602.somatic.snv_mnv.vcf.gz	210680	c8f8875299f20c610b214302e907cd29	76cb943c-d668-59a2-a66c-f5b0bbe91fff	DO52704	CLLE-ES	PCAWG
collaboratory	FI252861	922e4c56-95b4-55b1-a600-cb4ae0d604c4	VCF	1de83d45-8492-4b83-9055-a9f43b823f91.dkfz-indelCalling_1-0-132-1.20150602.somatic.indel.vcf.gz	1186364	e570327df69e5f66796d733a51bb46fa	f1548ffc-4a32-5895-96d3-2b6d3fb8cb3a	DO6470	CLLE-ES	PCAWG
collaboratory	FI252867	8dddcaa6-e0e8-5b8f-b1b1-dddc440db15e	VCF	1de83d45-8492-4b83-9055-a9f43b823f91.dkfz-snvCalling_1-0-132-1.20150602.somatic.snv_mnv.vcf.gz	207447	e44b76b855c51e9257d4178647b339bd	367d016f-0ac4-54c5-b97a-368c06efc88e	DO6470	CLLE-ES	PCAWG
collaboratory	FI252881	d1c60333-c1f3-5388-be59-edd6923a200a	VCF	278b2498-1d64-493b-ac43-3489ec86f313.dkfz-indelCalling_1-0-132-1.20150602.somatic.indel.vcf.gz	2322382	57c944fe0a9544d38c00c27d3635068b	1ce32d67-af77-58e5-81d1-cda82cb2af31	DO6370	CLLE-ES	PCAWG
collaboratory	FI252883	557b2b57-e3c3-5626-83ac-b30ee1e00019	VCF	278b2498-1d64-493b-ac43-3489ec86f313.dkfz-snvCalling_1-0-132-1.20150602.somatic.snv_mnv.vcf.gz	349325	33030fdfc1baeb540afd0749dbb1caf4	8761306d-36cb-519d-be9d-087b32d8a363	DO6370	CLLE-ES	PCAWG
collaboratory	FI252893	439d205c-cc4b-582a-ace7-9b31f31220a1	VCF	9c730cfb-3fd6-428a-a0a4-c061ca5db06c.dkfz-indelCalling_1-0-132-1.20150602.somatic.indel.vcf.gz	1232942	6b20081161605bbf735139d79411cf1f	46128334-d245-529c-8742-484acf1a29b1	DO6474	CLLE-ES	PCAWG
collaboratory	FI252899	4a335ccb-5104-56ae-8a42-e0bf95bfa937	VCF	9c730cfb-3fd6-428a-a0a4-c061ca5db06c.dkfz-snvCalling_1-0-132-1.20150602.somatic.snv_mnv.vcf.gz	896082	72ccda2d8e7098ff4648294ac9b0d019	1427bd53-53de-5967-82b0-46aa9079d8c3	DO6474	CLLE-ES	PCAWG
collaboratory	FI252911	97c3632f-04a3-5e56-abe8-641d259c119f	VCF	31a70598-33be-4f09-9990-bd7594467802.dkfz-snvCalling_1-0-132-1.20150602.somatic.snv_mnv.vcf.gz	868284	e82ee10a0729deae9651ebf089808213	41d06a98-c44b-534d-a4ac-383b85baaccc	DO52705	CLLE-ES	PCAWG
collaboratory	FI252915	e3534560-b113-572c-a55e-c49e026c78eb	VCF	31a70598-33be-4f09-9990-bd7594467802.dkfz-indelCalling_1-0-132-1.20150602.somatic.indel.vcf.gz	1358276	9c2b5e1ade1472c111f7fe0f24fc784a	b65d0804-c050-5c19-9302-adee9b115d01	DO52705	CLLE-ES	PCAWG
collaboratory	FI252927	f231da2e-84ff-56df-bee1-62cd65fe6521	VCF	50f4d836-79a9-4bc7-a63a-7aa29e41d418.dkfz-snvCalling_1-0-132-1.20150604.somatic.snv_mnv.vcf.gz	245069	955295ede364a31a7286a48f81b1eea5	7b701360-a9c3-5e5b-aed3-43f1db0e9a0c	DO52706	CLLE-ES	PCAWG
collaboratory	FI252929	1e5562aa-8039-51d8-8f60-c879342b7a90	VCF	50f4d836-79a9-4bc7-a63a-7aa29e41d418.dkfz-indelCalling_1-0-132-1.20150604.somatic.indel.vcf.gz	1290342	964b9d4bbc51b55e8fbbbe65cbf1b670	62eda0b8-6a79-559a-8c3b-40389dbfb0f3	DO52706	CLLE-ES	PCAWG
collaboratory	FI252940	29d982f5-3d53-55ba-b48b-dd5247c7f98c	VCF	50f4d836-79a9-4bc7-a63a-7aa29e41d418.MUSE_1-0rc-vcf.20150918.somatic.snv_mnv.vcf.gz	121195	9a56e29fcb33b4320c62ef4652565410	252202a6-f483-5546-95de-0e1c651e22da	DO52706	CLLE-ES	PCAWG
collaboratory	FI252949	24c8f5a0-9a13-5b18-b496-5fb4984106cc	VCF	d1be624b-eb76-4ce3-a6ba-ffc5b23953d3.dkfz-snvCalling_1-0-132-1.20150604.somatic.snv_mnv.vcf.gz	242548	32447b6a0793fbf26b9d7e6ff338ad1d	e93925d6-2b21-520f-b5f3-39f26c2ce5d4	DO52707	CLLE-ES	PCAWG
collaboratory	FI252953	ccdfec98-3e80-53be-9cad-66feb4fc4239	VCF	d1be624b-eb76-4ce3-a6ba-ffc5b23953d3.dkfz-indelCalling_1-0-132-1.20150604.somatic.indel.vcf.gz	1236714	dcbc93b87eb2f117bbf88ce98c83e1a3	9f292f2e-c539-514e-8d1a-9ccf1d318d01	DO52707	CLLE-ES	PCAWG
collaboratory	FI252967	f07bae82-dbbb-5743-8788-a35400067ee9	VCF	140d6ef7-0217-4d16-9add-215d0d14ba06.dkfz-indelCalling_1-0-132-1.20150604.somatic.indel.vcf.gz	3349486	3a66810e00712d3ea67dfd7adc312dbe	91881e77-8c41-54ff-a30b-55494c9f22e1	DO6492	CLLE-ES	PCAWG
collaboratory	FI252969	9ee33531-e302-5859-871b-734d9f6d74ab	VCF	140d6ef7-0217-4d16-9add-215d0d14ba06.dkfz-snvCalling_1-0-132-1.20150604.somatic.snv_mnv.vcf.gz	612491	72b8844fb24c7978acea6b392ca5aa8a	52c67976-9107-5762-9e15-5853a13fd17b	DO6492	CLLE-ES	PCAWG
collaboratory	FI252980	c6dcb849-440f-5816-8808-4eb081370060	VCF	140d6ef7-0217-4d16-9add-215d0d14ba06.MUSE_1-0rc-vcf.20150918.somatic.snv_mnv.vcf.gz	354368	29e2d0d408251d003885dfffb1768337	4d5f7e3b-c374-540c-87ed-fc3d5ac42095	DO6492	CLLE-ES	PCAWG
collaboratory	FI252989	5e178649-9e04-5aad-9292-74981f2905e4	VCF	367fdef3-d7af-4996-932f-cc5087e843dc.dkfz-snvCalling_1-0-132-1.20150604.somatic.snv_mnv.vcf.gz	357920	b85969736504e580f9c284dc4a24f90d	2c12e94d-82b2-5c52-9180-42dcaf360993	DO6504	CLLE-ES	PCAWG
collaboratory	FI252993	6fffcddd-623f-5686-9272-f1fcd6ec3cb9	VCF	367fdef3-d7af-4996-932f-cc5087e843dc.dkfz-indelCalling_1-0-132-1.20150604.somatic.indel.vcf.gz	1177943	7f6660171382df32c9c2024fb1874a3f	0d3dcaae-2644-5f76-99a0-f1e18fe200a8	DO6504	CLLE-ES	PCAWG
